,Tweet,anger,disgust,fear,happiness,like,sadness,surprise
970,"Di 2020 ini, semoga apapun yang kita inginkan dan kita capai, semoga bisa kita dapatkan dan terwujud amin",0,0,0,1,1,0,0
1470,"bajingan, ada beberapa orang yang pasti sakit hatinya or otw rusak masa depanya karena sange sesaatmu blok goblok",1,1,0,0,0,0,0
1580,Mo bakar dupa yang kebakar malah rambut saya. gablak,1,0,0,0,0,0,0
190,Tahun baruku kali ini kulewati berdua saja bersama dengan Tuhan dan air mata yang menghiasinya menjadi pelengkap,0,0,0,1,0,0,0
3760,"Tau? Aku sangat benci sendiri. Namun tak apa, karena yang lain pun tak peduli. #syquote",0,1,0,0,0,0,0
1776,Selamat pagi di tahun 2020 untuk kamu yang selalu dihati :'),0,0,0,1,1,0,0
1928,"Harapan harapan harapan semoga akan segera tercapai, tahun yang baru benahi mimpi yang baru",0,0,0,0,1,0,0
1405,Pemimpin Mongol Timurleng Agung (1336-1405) menghukum mati orang yang memberi lelucon yang sudah pernah dia dengar.,0,1,0,0,0,0,0
2038,Lega sekali rasanya tahun 2019 telah berlalu.  Seakan semua yang membebani pun ikut berlalu,0,0,0,1,1,0,0
2701,Mana la tau tukar fikiran. Apa yang tak betul pilihan kau? Kau pikir apa?,0,0,1,0,0,0,0
2810,Ini keadaan alam yang luar biasa... standar jawaban rezim di segala area yg menyalahkan faktor external daripada berinovasi,0,1,0,0,0,0,0
152,"Buat teman-teman yang daerahnya kena banjir, stay safe ya. Semoga banjirnya segera surut dan bantuan segera datang ",0,0,1,0,0,1,0
1189,"alhamdulillah disini ga banjir, semoga yang kebanjiran cpt surut yaaa huhu :((",0,0,1,0,0,0,0
1083,kebanjiran :( semoga pertanda rejeki yang tidak putus putus.....,0,0,0,0,0,1,0
611,"Happy new year najeeee, semoga 2020 jadi tahun yang lebih baik dari sebelumnua yaaa",0,0,0,1,0,0,0
3097,"Happy bidey buat munnya bangsa, semoga apa yang disemogakan tercapai yhaaa ",0,0,0,1,0,0,0
1606,"Aku sengaja nyampah biar di notice, eh kamu malah milih yang beneran sampah.",0,0,0,0,0,1,0
1239,"Hai #Wanita_Horny, Kau adalah yang terpenting dalam hidupku",0,0,0,0,1,0,0
3133,Terimakasih atas pak rt dan warga yang sangat sigap untuk memburu ular ularrrr,0,0,0,1,0,0,0
2107,"Luar biasa kalian yang bisa bersikap baik2 saja didepan yang lain, padahal sedang hancur-hancurnya :))",0,0,0,1,0,0,0
2373,"""Huh! Justru aku yang ingin menangis! Gara-gara perbuatanmu ini..."" - Kogoro Mouri",0,0,0,0,0,1,0
3856,Teman baik Billy Yanuar yang ganteng sekaliiii. Your friend is still the most interesting hoho.,0,0,0,0,1,0,0
2272,"Alhamdulillah 2020 ada yang ngucapin selamat tahun baru, ALHAMDULILLAH YA ALLAH ALHAMDULILLAH HAMBAMU INI SENANG SEKALIII",0,0,0,1,0,0,0
1676,"Happy new yearrr yaaa, semoga tahun baru nasib baru dan kebahagiaan yang baru",0,0,0,1,0,0,0
1821,"Selamat tahun baru untuk Bapak Bripka Ambarita, yang lain tidak.",0,0,0,1,0,0,0
2043,"sebusuk-busuk tong sampah ni, busuk lagi hati orang yang selalu iri dan dengki pada kehidupan orang lain.",0,1,0,0,0,0,0
4043,"banyak orang yang gasuka bau bawang, sedangkan aku suka banget nyium bau tanganku setelah ngiris bawang mwrhehe",0,0,0,0,1,0,0
1441,Semoga ditahun 2020 aku jadi orang yang lebih berguna dari pada tahun sebelumnya,0,0,0,1,0,0,0
3533,"Love you too kakkk, doa yang terbaik pokonya buat kita semua di tahun ini ",0,0,0,0,1,0,0
4034,"Tenang, pada akhirnya akan saya buat bahagia. Teruntuk kalian yang selalu mengkhawatirkan saya.",0,0,1,0,0,0,0
4164,"Jangan salahin 1-2 orang, jelas ini salah kita semua. Stay safe yang terkena banjir",0,0,1,0,0,0,0
3697,Semangat Ujian Echa! Semoga diberi kelancaran dan nilai yang bagus. Dom depok ,0,0,0,1,0,0,0
3776,"Banjir di rumah w ternyata bukan karna hujan, tapi air mata w yang jatoh. Jiah",0,0,1,0,0,0,0
810,"ahahaha penggantinya  makasih juga kamu, semoga 2020 jd tahun yang membahagiakan yaa ",0,0,0,1,0,0,0
1490,"Nggak ada yang lebih bahagia di pagi ini selain melihat lengkung senyummu, selamat pagi kakak. SweetTataChiBi",0,0,0,1,0,0,0
812,Orang yang tulus mencintaimu adalah orang yang akan membuat kamu mengeluarkan airmata bahagia #jujur,0,0,0,1,0,0,0
3402,semoga yang belum tercapai ditahun sebelumnya bisa aku dapetin ditahun ini. aamiin,0,0,0,1,0,0,0
4106,"Menunggu CINTA mu itu seperti menunggu DAMRI jurusan kuburan, yang gak akan pernah datang..",0,0,0,0,1,0,0
3709,selamat tahun baru! makasih udah bertahan sampe sekarang. jangan lupa terus coba jadi yang lebih baik!,0,0,0,1,0,0,0
3247,"Selamat datang di dunia, adik manis! Titip salam dari aku yang senang. ",0,0,0,1,0,0,0
834,"Happy new year ocan, semoga di tahun ini kita menjadi orang yang lebih baik lagi",0,0,0,1,0,0,0
1137,Berarti aku manusia yang bisa liat jurig [merasa kaget] [kagum pada diri sendiri],0,0,0,0,0,0,1
4130,umur panjang itu sekali-kali tidak akan menjauhkannya daripada siksa. Allah Maha Mengetahui apa yang mereka,0,0,1,0,0,0,0
482,"ada yang bilang “loveyou” ke anak ayam gua, tp di unsend  @falafyuuuuu",0,0,0,0,1,0,0
