,Tweet,anger,disgust,fear,happiness,like,sadness,surprise
310,"Happy new years! tdak minta banyak, tapi kasi banyak laba yang ni na  hahahahahahaha",0,0,0,1,0,0,0
2773,"Awal 2020 yang baik, pagi pagi udah dikasih banjir aja ",0,0,0,0,0,1,0
3654,Urwell minju. Semoga ditahun menjadi tahun yang lebih baik ya,0,0,0,1,0,0,0
1988,"Mau album ikon yang return, wishnya semoga hanbin cepet comeback, amiin yaallah amiin",0,0,0,1,0,0,0
3440,semoga pagi ini diberikan kelancaran dan rezeki yang melimpah aamiin ^^,0,0,0,1,0,0,0
2127,Percuma kamu inget-inget dia yang udah ngelupain kamu. Toh dia juga enggak bakal balik lagi ke kamu.,0,0,0,0,0,1,0
3613,[17's] carat carat~ ada yang punya foto tiket carat land nggak? boleh drop fotonya? makasihhh~,0,0,0,0,1,0,0
1216,segerr kan ya yg ijo tp yang pink enak juga lebih awet gitu baunyaa!!!,0,0,0,0,0,0,1
3453,"Setelah dipikir, siapa yg bakal mikir apa yang kamu rasain. Selamat datang 2020 ditunggu kejutannya",0,0,0,1,0,0,0
4204,Banyak kok tam. Masih banyak yang mensyaratkan 2.75 juga tam. Mangat pak bos!,0,0,0,1,0,0,0
1393,"Cuma tiga cinta yang tdk akan pernah berakhir: cinta ibu pd anaknya,cinta fitri dan cintaku padamu.",0,0,0,0,1,0,0
1611,selamat ulang tahun bagi yang lahir 29 februari 2020 ini semoga bahagia ,0,0,0,1,0,0,0
4143,Selamat yang merayakan tahun baru diluar rumah dan pulang2 mesti beberes banjir,0,0,0,1,0,0,0
1269,Banjir kiriman banjir kiriman puguh mah namanya air ya ngalir tolol lu yang nyumbat bikin banjir.,0,0,0,0,0,1,0
278,"“Biarkan saja dia yang telah lepas pergi Terhempas, jangan lagi kau kejar sebab dia bukan layang-layang”",1,0,0,0,0,0,0
2253,Indonesia emang lagi demam bola tapi cuma bola mata kamu yang bikin aku demam.,0,0,0,0,1,0,0
1025,Semoga kekecewaan kamu terbalas sama sesuatu yang lebih baik lagi ya ,0,0,0,1,0,0,0
1357,Hindari mengaplikasikan trend yg berlebihan ke diri kalian. Karena kalian terkesan tidak memiliki penampilan yang unik & khas.,0,0,1,0,0,0,0
2985,"Satu paket skincare yang dia pakek,oh iya make over se paket juga gpp :) makasih lo",0,0,0,1,0,0,0
3060,Itu mungkin anggota master chef yang sangat mencintai anda huahaha,0,0,0,1,0,0,0
2207,Bismillah. semoga yang baik baik saja untuk tahun 2020,0,0,0,1,0,0,0
322,Uwuuu semangat kak bel happy new year semoga tahun ini tahun yang baik buat kita semua. Ilysm,0,0,0,1,0,0,0
2112,semoga taun ini bahagia dan dijauhkan dari segala duka lara yang membuat hati terluka.,0,0,0,1,0,0,0
